iter	RMSE
0	0.7334179584
1	0.7144065887
2	0.6974642531
3	0.6809756575
4	0.6663387919
5	0.6540987617
6	0.6412466462
7	0.6293824862
8	0.6188927418
9	0.6087996118
10	0.5992642542
11	0.5907346944
12	0.5825450791
13	0.5753143905
14	0.5685204401
15	0.562624131
16	0.5570825991
17	0.5519711673
18	0.5473495865
19	0.5431140503
20	0.5392752559
21	0.5359007205
22	0.5325963644
23	0.5296052014
24	0.5269689052
25	0.5245122227
26	0.522446969
27	0.5203793891
28	0.5184145698
29	0.5165801602
30	0.5151387962
31	0.5138595306
32	0.5125226206
33	0.5112757331
34	0.5100946363
35	0.5090747494
36	0.5081996723
37	0.5073501269
38	0.5067177975
39	0.5060508723
40	0.5054906591
41	0.5048382881
42	0.5044110564
43	0.5039736458
44	0.5034627992
45	0.5030226536
46	0.5026640714
47	0.5024246131
48	0.5021091328
49	0.5018768141
50	0.5015698799
51	0.5013434022
52	0.5011089276
53	0.5008262295
54	0.5004929811
55	0.5003188994
56	0.5001592617
57	0.4999631419
58	0.4998452953
59	0.4997133865
60	0.4995458295
61	0.4994606064
62	0.4992619033
63	0.4991389358
64	0.4990433488
65	0.4988903357
66	0.4988576562
67	0.4987622958
68	0.4986793498
69	0.4986046014
70	0.4985104101
71	0.4984543184
72	0.4984211654
73	0.4983526246
74	0.4982891443
75	0.4982188196
76	0.4981468688
77	0.4980595855
78	0.497983567
79	0.4979401412
80	0.4978747287
81	0.4978539877
82	0.4978432371
83	0.4977631031
84	0.4977060703
85	0.4976698787
86	0.4976607918
87	0.4976036073
88	0.4975597222
89	0.4974859024
90	0.4974203286
91	0.49738639
92	0.4973853495
93	0.4973142374
94	0.4972744031
95	0.4971895783
96	0.4971837002
97	0.4971728101
98	0.497169997
99	0.4971326521
100	0.4970788912
101	0.4970491095
102	0.4969949917
103	0.4969170092
104	0.4968800119
105	0.4968790468
106	0.4968569615
107	0.4968317177
108	0.4968316467
109	0.4968014459
110	0.4967890415
111	0.4967173233
112	0.4966879641
113	0.4966697387
114	0.496647936
115	0.4966068549
116	0.4965823868
117	0.4965400143
118	0.4964701367
119	0.4964357
120	0.496430768
121	0.4964146848
122	0.4964140854
123	0.4964088768
124	0.4963940957
125	0.4963733909
126	0.4963581197
127	0.4962939368
128	0.4962897325
129	0.4962423699
130	0.4962336263
131	0.4962218603
132	0.4961999831
133	0.496159306
134	0.4961345699
135	0.4961268282
136	0.4960981182
137	0.4960572778
138	0.49602488
139	0.4960149809
140	0.4959766883
141	0.4959728653
142	0.4959185534
143	0.4958981267
144	0.4958726411
145	0.4958505965
146	0.495783416
147	0.4957813187
148	0.4957607445
149	0.4957580396
150	0.4957580395
151	0.4957238744
152	0.4956330976
153	0.4956291347
154	0.4955892489
155	0.4955701205
156	0.4955701195
157	0.4955553287
158	0.4955200837
159	0.4955146219
160	0.4954959552
161	0.4954725387
162	0.4954725337
163	0.4954505493
164	0.495444608
165	0.4954333605
166	0.4954270029
167	0.4954119838
168	0.4953476251
169	0.4953476233
170	0.4953133614
171	0.4952930168
172	0.4952773481
173	0.4952768596
174	0.4952541574
175	0.4952483343
176	0.4951792392
177	0.4951540074
178	0.4951272377
179	0.4950480577
180	0.4950099348
181	0.4949463297
182	0.49487768
183	0.4948448618
184	0.4947870914
185	0.4947638008
186	0.4947349059
187	0.4946346769
188	0.4946069621
189	0.4945751585
190	0.4945227827
191	0.4944927808
192	0.4944645901
193	0.4943909314
194	0.4942710568
195	0.4942300534
196	0.4941962896
197	0.494150464
198	0.4941104705
199	0.4940782183
200	0.4940362863
201	0.493999663
202	0.4939702062
203	0.4939508284
204	0.4938639284
205	0.4938348358
206	0.4938051576
207	0.4937716408
208	0.493732077
209	0.4937073935
210	0.4936861503
211	0.4936548917
212	0.4935984878
213	0.4935138974
214	0.4934922853
215	0.4934095268
216	0.4933293048
217	0.4933027569
218	0.493243593
219	0.4932152094
220	0.4931882822
221	0.4930840106
222	0.4930456574
223	0.4929960516
224	0.4929649536
225	0.4929454073
226	0.4929065162
227	0.4928820922
228	0.4928178669
229	0.4927678451
230	0.4927320071
231	0.4926620769
232	0.4925904671
233	0.4925695525
234	0.4925127686
235	0.492440922
236	0.4924149778
237	0.4923523139
238	0.4923197884
239	0.4922985438
240	0.4922662301
241	0.4921585242
242	0.4920846346
243	0.4920673292
244	0.4920355425
245	0.4919881174
246	0.4919530766
247	0.4919341176
248	0.4919116576
249	0.4918540223
250	0.4918271938
251	0.4918089511
252	0.4917942519
253	0.4917537713
254	0.491734176
255	0.4916539578
256	0.4916381357
257	0.4916123587
258	0.4915947132
259	0.4915155954
260	0.4914917693
261	0.4914344931
262	0.4913935622
263	0.4913607947
264	0.4912976042
265	0.4912822443
266	0.4912237824
267	0.4911904946
268	0.491155445
269	0.4911130016
270	0.4910821271
271	0.491036406
272	0.4910140062
273	0.4909922017
274	0.4909219758
275	0.4908942034
276	0.4908703011
277	0.4908319274
278	0.490814702
279	0.4907849371
280	0.490751446
281	0.4907195819
282	0.4906369443
283	0.4906109543
284	0.4906006249
285	0.4905326582
286	0.4904884072
287	0.490461262
288	0.4904472036
289	0.4904216175
290	0.4903759418
291	0.4903585787
292	0.4903355592
293	0.4902728047
294	0.4902439972
295	0.4901821446
296	0.4901589637
297	0.4901229006
298	0.4900924664
299	0.4900566556
300	0.4900268362
301	0.4900144385
302	0.4899864639
303	0.4899362727
304	0.4899182921
305	0.4898923165
306	0.4898295893
307	0.4897963265
308	0.4897678513
309	0.4897463012
310	0.4897167
311	0.4896762426
312	0.4896409791
313	0.4896017092
314	0.4895692901
315	0.489537015
316	0.4895055628
317	0.4894717765
318	0.4894492374
319	0.4893797904
320	0.489370231
321	0.4893566235
322	0.4893332541
323	0.4892601911
324	0.4891884746
325	0.4891670465
326	0.4891448571
327	0.4891119695
328	0.4890899888
329	0.4890758343
330	0.4890543203
331	0.4890431759
332	0.4890147915
333	0.4889935239
334	0.4889760145
335	0.4888836596
336	0.4888644435
337	0.4888366083
338	0.4888007712
339	0.4887350039
340	0.488709713
341	0.488698247
342	0.4886848296
343	0.4886019377
344	0.4885886053
345	0.4885718315
346	0.488538261
347	0.4885201024
348	0.488498937
349	0.488475735
350	0.4884556059
351	0.4883733116
352	0.4883386734
353	0.4883274458
354	0.4883163778
355	0.488298775
