iter	Passed	Remaining
0	40	20300
1	88	22007
2	130	21683
3	175	21762
4	222	22058
5	275	22642
6	315	22199
7	354	21831
8	375	20464
9	409	20065
10	451	20058
11	484	19700
12	511	19153
13	551	19160
14	594	19213
15	628	19022
16	670	19054
17	710	19033
18	737	18664
19	764	18337
20	806	18403
21	847	18408
22	889	18441
23	941	18678
24	1006	19125
25	1046	19085
26	1095	19200
27	1140	19221
28	1184	19232
29	1227	19224
30	1268	19197
31	1307	19120
32	1334	18890
33	1377	18884
34	1430	19005
35	1488	19180
36	1531	19159
37	1572	19114
38	1617	19115
39	1658	19070
40	1702	19054
41	1760	19201
42	1813	19270
43	1865	19335
44	1918	19398
45	1972	19462
46	2025	19526
47	2075	19540
48	2116	19481
49	2152	19375
50	2196	19342
51	2242	19324
52	2286	19283
53	2334	19278
54	2341	18948
55	2385	18914
56	2431	18895
57	2476	18873
58	2525	18880
59	2574	18881
60	2620	18856
61	2663	18818
62	2707	18777
63	2750	18735
64	2765	18507
65	2816	18519
66	2857	18467
67	2899	18417
68	2943	18387
69	2984	18331
70	3004	18156
71	3040	18071
72	3075	17986
73	3118	17954
74	3161	17917
75	3203	17873
76	3245	17829
77	3287	17784
78	3325	17721
79	3339	17533
80	3378	17476
81	3386	17262
82	3431	17238
83	3473	17202
84	3493	17054
85	3500	16851
86	3540	16807
87	3580	16764
88	3607	16660
89	3650	16628
90	3692	16597
91	3734	16563
92	3774	16517
93	3793	16383
94	3835	16352
95	3882	16339
96	3924	16304
97	3968	16280
98	3991	16167
99	4031	16127
100	4075	16101
101	4085	15939
102	4127	15910
103	4179	15912
104	4228	15908
105	4251	15802
106	4300	15797
107	4341	15758
108	4383	15725
109	4427	15696
110	4470	15667
111	4512	15632
112	4552	15592
113	4594	15557
114	4609	15430
115	4654	15406
116	4682	15329
117	4725	15298
118	4767	15264
119	4782	15143
120	4824	15110
121	4867	15082
122	4898	15012
123	4912	14896
124	4957	14873
125	5001	14847
126	5051	14835
127	5095	14808
128	5138	14778
129	5181	14747
130	5212	14682
131	5263	14673
132	5313	14661
133	5360	14640
134	5401	14604
135	5441	14564
136	5498	14569
137	5538	14529
138	5546	14404
139	5565	14310
140	5604	14270
141	5643	14227
142	5669	14153
143	5710	14118
144	5751	14081
145	5792	14043
146	5810	13952
147	5851	13916
148	5898	13896
149	5939	13859
150	5981	13825
151	6023	13789
152	6064	13754
153	6106	13718
154	6147	13683
155	6188	13646
156	6216	13581
157	6261	13554
158	6308	13530
159	6349	13491
160	6387	13448
161	6427	13409
162	6472	13381
163	6486	13290
164	6527	13252
165	6568	13215
166	6612	13184
167	6661	13163
168	6714	13150
169	6757	13117
170	6800	13083
171	6847	13057
172	6881	13007
173	6924	12973
174	6969	12943
175	7010	12906
176	7049	12864
177	7089	12825
178	7134	12794
179	7174	12754
180	7213	12713
181	7253	12674
182	7293	12634
183	7331	12591
184	7377	12562
185	7416	12520
186	7454	12477
187	7497	12442
188	7537	12402
189	7579	12366
190	7620	12328
191	7662	12291
192	7707	12259
193	7747	12220
194	7785	12176
195	7824	12136
196	7872	12108
197	7939	12109
198	7981	12073
199	8020	12031
200	8062	11993
201	8106	11959
202	8149	11923
203	8198	11895
204	8237	11853
205	8279	11816
206	8323	11781
207	8364	11742
208	8403	11700
209	8445	11663
210	8484	11620
211	8522	11577
212	8564	11539
213	8605	11500
214	8645	11460
215	8692	11429
216	8738	11396
217	8780	11358
218	8821	11318
219	8863	11281
220	8911	11250
221	8949	11207
222	8990	11167
223	9033	11130
224	9073	11090
225	9115	11051
226	9164	11021
227	9207	10984
228	9247	10944
229	9291	10907
230	9332	10867
231	9411	10872
232	9477	10860
233	9529	10832
234	9575	10797
235	9616	10757
236	9669	10730
237	9723	10704
238	9776	10675
239	9826	10645
240	9871	10608
241	9931	10587
242	10043	10621
243	10086	10582
244	10128	10542
245	10170	10501
246	10227	10475
247	10265	10430
248	10306	10389
249	10333	10333
250	10372	10290
251	10416	10251
252	10457	10209
253	10500	10169
254	10547	10133
255	10594	10097
256	10638	10059
257	10687	10024
258	10726	9981
259	10771	9942
260	10818	9906
261	10870	9875
262	10912	9833
263	10951	9790
264	10992	9747
265	11037	9709
266	11075	9665
267	11114	9621
268	11153	9578
269	11192	9534
270	11232	9491
271	11277	9453
272	11320	9412
273	11361	9371
274	11405	9331
275	11444	9288
276	11485	9246
277	11525	9203
278	11565	9161
279	11609	9121
280	11652	9081
281	11689	9036
282	11727	8992
283	11770	8951
284	11811	8910
285	11855	8870
286	11896	8829
287	11937	8787
288	11981	8747
289	12022	8706
290	12069	8668
291	12114	8629
292	12155	8587
293	12195	8545
294	12236	8503
295	12274	8459
296	12317	8418
297	12356	8376
298	12394	8332
299	12436	8290
300	12485	8254
301	12527	8213
302	12573	8174
303	12612	8131
304	12653	8089
305	12693	8047
306	12734	8005
307	12775	7963
308	12816	7922
309	12860	7882
310	12903	7841
311	12944	7799
312	12983	7756
313	13022	7713
314	13067	7674
315	13106	7631
316	13148	7590
317	13188	7548
318	13231	7507
319	13295	7478
320	13349	7443
321	13389	7401
322	13438	7364
323	13490	7328
324	13534	7287
325	13573	7244
326	13613	7202
327	13653	7159
328	13696	7119
329	13742	7079
330	13790	7041
331	13829	6997
332	13873	6957
333	13913	6914
334	13952	6872
335	13992	6829
336	14031	6786
337	14071	6744
338	14114	6703
339	14155	6661
340	14195	6618
341	14233	6575
342	14272	6532
343	14315	6491
344	14358	6450
345	14397	6408
346	14436	6365
347	14478	6323
348	14521	6283
349	14565	6242
350	14607	6201
351	14653	6161
352	14700	6121
353	14742	6080
354	14784	6038
355	14831	5999
356	14875	5958
357	14918	5917
358	14961	5876
359	15000	5833
360	15041	5791
361	15084	5750
362	15124	5708
363	15163	5665
364	15201	5622
365	15241	5580
366	15283	5538
367	15327	5497
368	15374	5458
369	15416	5416
370	15454	5373
371	15498	5332
372	15539	5290
373	15581	5249
374	15627	5209
375	15668	5167
376	15705	5124
377	15748	5082
378	15789	5041
379	15828	4998
380	15869	4956
381	15910	4914
382	15950	4872
383	15999	4833
384	16043	4792
385	16090	4752
386	16143	4713
387	16188	4672
388	16228	4630
389	16268	4588
390	16307	4546
391	16350	4504
392	16391	4462
393	16431	4420
394	16476	4379
395	16514	4337
396	16556	4295
397	16598	4253
398	16637	4211
399	16678	4169
400	16718	4127
401	16760	4085
402	16800	4043
403	16839	4001
404	16878	3959
405	16920	3917
406	16965	3876
407	17007	3834
408	17047	3793
409	17087	3750
410	17125	3708
411	17168	3667
412	17209	3625
413	17252	3583
414	17299	3543
415	17341	3501
416	17390	3461
417	17441	3421
418	17483	3379
419	17525	3338
420	17563	3295
421	17602	3253
422	17644	3211
423	17684	3169
424	17727	3128
425	17770	3086
426	17815	3045
427	17859	3004
428	17900	2962
429	17940	2920
430	17994	2880
431	18035	2838
432	18079	2797
433	18124	2756
434	18166	2714
435	18213	2673
436	18260	2632
437	18302	2590
438	18349	2549
439	18393	2508
440	18435	2466
441	18478	2424
442	18522	2383
443	18565	2341
444	18625	2301
445	18676	2261
446	18718	2219
447	18764	2177
448	18818	2137
449	18865	2096
450	18910	2054
451	18956	2013
452	19000	1971
453	19047	1929
454	19092	1888
455	19136	1846
456	19178	1804
457	19215	1762
458	19255	1720
459	19298	1678
460	19340	1636
461	19379	1594
462	19427	1552
463	19469	1510
464	19511	1468
465	19553	1426
466	19593	1384
467	19632	1342
468	19675	1300
469	19721	1258
470	19764	1216
471	19806	1174
472	19859	1133
473	19901	1091
474	19958	1050
475	20003	1008
476	20045	966
477	20092	924
478	20146	883
479	20186	841
480	20232	799
481	20272	757
482	20311	714
483	20351	672
484	20395	630
485	20441	588
486	20484	546
487	20522	504
488	20562	462
489	20603	420
490	20644	378
491	20687	336
492	20734	294
493	20774	252
494	20821	210
495	20860	168
496	20901	126
497	20949	84
498	20989	42
499	21029	0
