data_pedido,tipo_produto,mes_do_ano,mes_do_ano_num,canal,regiao_destino,cliente_segmento,quantidade_kg,preco_unitario_brl_kg,nps_0a10,id_pedido
2025-07-06,Polpa congelada,Julho,7,Distribuidor,Sudeste,Atacadista,602.98,7.18,7.0,Polpa congelada_Julho_0
2025-07-29,Polpa congelada,Julho,7,Distribuidor,Norte,Operador logístico,151.44,10.59,7.0,Polpa congelada_Julho_1
2025-07-14,Polpa congelada,Julho,7,Distribuidor,Sul,Distribuidor regional,496.67,13.44,9.0,Polpa congelada_Julho_2
2025-07-13,Polpa congelada,Julho,7,Distribuidor,Sudeste,Atacadista,996.45,8.8,9.0,Polpa congelada_Julho_3
2025-07-20,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de bebidas,910.61,8.34,8.0,Polpa congelada_Julho_4
2025-07-12,Polpa congelada,Julho,7,Exportacao,Exterior,Importador (EUA),535.03,8.01,7.0,Polpa congelada_Julho_5
2025-07-09,Polpa congelada,Julho,7,Distribuidor,Sudeste,Distribuidor food service,552.51,9.36,9.0,Polpa congelada_Julho_6
2025-07-15,Polpa congelada,Julho,7,Exportacao,Exterior,Importador (LATAM),1125.63,13.32,8.0,Polpa congelada_Julho_7
2025-07-12,Polpa congelada,Julho,7,Food Service,Centro-Oeste,Restaurantes,101.67,11.11,8.0,Polpa congelada_Julho_8
2025-07-26,Polpa congelada,Julho,7,Distribuidor,Sul,Distribuidor regional,374.21,12.86,8.0,Polpa congelada_Julho_9
2025-07-20,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de bebidas,974.03,10.1,9.0,Polpa congelada_Julho_10
2025-07-22,Polpa congelada,Julho,7,Exportacao,Exterior,Importador (MENA),494.82,10.51,7.0,Polpa congelada_Julho_11
2025-07-27,Polpa congelada,Julho,7,Varejo,Sudeste,Supermercados,655.73,15.31,7.0,Polpa congelada_Julho_12
2025-07-16,Polpa congelada,Julho,7,Food Service,Nordeste,Cafeterias,707.78,10.13,7.0,Polpa congelada_Julho_13
2025-07-13,Polpa congelada,Julho,7,Food Service,Nordeste,Restaurantes,484.97,10.12,6.0,Polpa congelada_Julho_14
2025-07-26,Polpa congelada,Julho,7,Distribuidor,Norte,Central de compras,814.85,10.1,8.0,Polpa congelada_Julho_15
2025-07-05,Polpa congelada,Julho,7,Exportacao,Exterior,Importador (LATAM),544.01,14.78,8.0,Polpa congelada_Julho_16
2025-07-04,Polpa congelada,Julho,7,Distribuidor,Sul,Operador logístico,984.39,10.98,9.0,Polpa congelada_Julho_17
2025-07-27,Polpa congelada,Julho,7,Distribuidor,Centro-Oeste,Distribuidor food service,966.21,12.94,7.0,Polpa congelada_Julho_18
2025-07-21,Polpa congelada,Julho,7,Food Service,Centro-Oeste,Restaurantes,182.37,8.52,5.0,Polpa congelada_Julho_19
2025-07-10,Polpa congelada,Julho,7,Distribuidor,Sul,,93.18,11.88,8.0,Polpa congelada_Julho_20
2025-07-16,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de sorvetes,829.0,10.61,8.0,Polpa congelada_Julho_21
2025-07-07,Polpa congelada,Julho,7,Food Service,Nordeste,Cafeterias,194.01,6.03,10.0,Polpa congelada_Julho_22
2025-07-03,Polpa congelada,Julho,7,Food Service,Sudeste,Açaíterias,305.98,8.04,9.0,Polpa congelada_Julho_23
2025-07-17,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de alimentos,611.6,8.16,9.0,Polpa congelada_Julho_24
2025-07-03,Polpa congelada,Julho,7,Food Service,Centro-Oeste,Cafeterias,644.93,10.06,8.0,Polpa congelada_Julho_25
2025-07-19,Polpa congelada,Julho,7,Food Service,Sudeste,Açaíterias,530.47,8.46,9.0,Polpa congelada_Julho_26
2025-07-07,Polpa congelada,Julho,7,Distribuidor,Sudeste,Distribuidor food service,483.74,8.48,8.0,Polpa congelada_Julho_27
2025-07-30,Polpa congelada,Julho,7,Varejo,Centro-Oeste,Empórios,197.7,12.65,8.0,Polpa congelada_Julho_28
2025-07-09,Polpa congelada,Julho,7,Industria,Sul,Indústria de bebidas,579.28,7.92,8.0,Polpa congelada_Julho_29
2025-07-25,Polpa congelada,Julho,7,Food Service,Centro-Oeste,Restaurantes,362.52,6.39,8.0,Polpa congelada_Julho_30
2025-07-04,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de laticínios,216.03,7.76,8.0,Polpa congelada_Julho_31
2025-07-25,Polpa congelada,Julho,7,Distribuidor,Norte,Atacadista,217.67,7.82,9.0,Polpa congelada_Julho_32
2025-07-06,Polpa congelada,Julho,7,Food Service,Nordeste,Restaurantes,873.68,7.77,8.0,Polpa congelada_Julho_33
2025-07-30,Polpa congelada,Julho,7,Industria,Centro-Oeste,Indústria de laticínios,1047.28,12.82,8.0,Polpa congelada_Julho_34
2025-07-08,Polpa congelada,Julho,7,Distribuidor,Nordeste,Distribuidor regional,215.17,12.1,7.0,Polpa congelada_Julho_35
2025-07-10,Polpa congelada,Julho,7,Varejo,Sudeste,Empórios,666.85,13.42,8.0,Polpa congelada_Julho_36
2025-07-20,Polpa congelada,Julho,7,Food Service,Nordeste,Cafeterias,461.4,12.9,10.0,Polpa congelada_Julho_37
2025-07-11,Polpa congelada,Julho,7,Industria,Centro-Oeste,,1122.1,10.19,9.0,Polpa congelada_Julho_38
2025-07-10,Polpa congelada,Julho,7,Food Service,Norte,Cafeterias,460.11,7.41,10.0,Polpa congelada_Julho_39
2025-07-09,Polpa congelada,Julho,7,Food Service,Sudeste,Cafeterias,384.43,11.9,8.0,Polpa congelada_Julho_40
2025-07-29,Polpa congelada,Julho,7,Industria,Norte,Indústria de laticínios,860.22,8.38,10.0,Polpa congelada_Julho_41
2025-07-04,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de ingredientes,274.98,9.11,9.0,Polpa congelada_Julho_42
2025-07-17,Polpa congelada,Julho,7,Distribuidor,Centro-Oeste,Atacadista,874.06,7.23,7.0,Polpa congelada_Julho_43
2025-07-23,Polpa congelada,Julho,7,Food Service,Norte,Cafeterias,865.41,13.12,8.0,Polpa congelada_Julho_44
2025-07-30,Polpa congelada,Julho,7,Distribuidor,Nordeste,Atacadista,1106.84,8.02,9.0,Polpa congelada_Julho_45
2025-07-31,Polpa congelada,Julho,7,Food Service,Nordeste,Restaurantes,707.84,8.5,8.0,Polpa congelada_Julho_46
2025-07-24,Polpa congelada,Julho,7,Exportacao,Exterior,Trading,578.16,13.82,8.0,Polpa congelada_Julho_47
2025-07-18,Polpa congelada,Julho,7,Industria,Centro-Oeste,Indústria de sorvetes,277.48,10.49,7.0,Polpa congelada_Julho_48
2025-07-01,Polpa congelada,Julho,7,Food Service,Sul,Hotéis,391.8,7.93,9.0,Polpa congelada_Julho_49
2025-07-22,Polpa congelada,Julho,7,Industria,Centro-Oeste,Indústria de ingredientes,885.92,11.81,8.0,Polpa congelada_Julho_50
2025-07-27,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de bebidas,798.95,13.0,8.0,Polpa congelada_Julho_51
2025-07-26,Polpa congelada,Julho,7,Exportacao,Exterior,Importador (EUA),224.14,8.17,9.0,Polpa congelada_Julho_52
2025-07-08,Polpa congelada,Julho,7,Food Service,Sudeste,Restaurantes,202.72,9.7,10.0,Polpa congelada_Julho_53
2025-07-23,Polpa congelada,Julho,7,Food Service,Sul,Açaíterias,95.31,8.66,7.0,Polpa congelada_Julho_54
2025-07-30,Polpa congelada,Julho,7,Food Service,Norte,Confeitarias,575.53,11.86,7.0,Polpa congelada_Julho_55
2025-07-31,Polpa congelada,Julho,7,Industria,Sul,Indústria de bebidas,771.12,8.91,5.0,Polpa congelada_Julho_56
2025-07-03,Polpa congelada,Julho,7,Food Service,Centro-Oeste,Açaíterias,428.93,7.52,7.0,Polpa congelada_Julho_57
2025-07-25,Polpa congelada,Julho,7,Industria,Norte,Indústria de ingredientes,378.25,12.83,10.0,Polpa congelada_Julho_58
2025-07-11,Polpa congelada,Julho,7,Exportacao,Exterior,Importador (UE),263.35,13.04,9.0,Polpa congelada_Julho_59
2025-07-01,Polpa congelada,Julho,7,Varejo,Sudeste,Supermercados,300.22,9.92,10.0,Polpa congelada_Julho_60
2025-07-15,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de bebidas,654.95,7.21,8.0,Polpa congelada_Julho_61
2025-07-05,Polpa congelada,Julho,7,Food Service,Sudeste,Açaíterias,374.41,12.31,7.0,Polpa congelada_Julho_62
2025-07-25,Polpa congelada,Julho,7,Food Service,Sudeste,Açaíterias,371.52,8.32,9.0,Polpa congelada_Julho_63
2025-07-05,Polpa congelada,Julho,7,Distribuidor,Nordeste,Operador logístico,639.02,12.55,8.0,Polpa congelada_Julho_64
2025-07-22,Polpa congelada,Julho,7,Exportacao,Exterior,Importador (EUA),630.25,14.37,10.0,Polpa congelada_Julho_65
2025-07-27,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de alimentos,358.9,10.18,9.0,Polpa congelada_Julho_66
2025-07-27,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de bebidas,1129.88,9.33,8.0,Polpa congelada_Julho_67
2025-07-18,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de laticínios,1001.37,7.12,,Polpa congelada_Julho_68
2025-07-17,Polpa congelada,Julho,7,Food Service,Nordeste,Confeitarias,569.07,7.83,9.0,Polpa congelada_Julho_69
2025-07-10,Polpa congelada,Julho,7,Distribuidor,Sudeste,Distribuidor food service,971.86,8.6,8.0,Polpa congelada_Julho_70
2025-07-13,Polpa congelada,Julho,7,Food Service,Sudeste,,359.42,12.53,7.0,Polpa congelada_Julho_71
2025-07-11,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de ingredientes,941.92,7.64,7.0,Polpa congelada_Julho_72
2025-07-13,Polpa congelada,Julho,7,Food Service,Sudeste,Confeitarias,832.69,13.07,9.0,Polpa congelada_Julho_73
2025-07-25,Polpa congelada,Julho,7,Industria,Sul,Indústria de bebidas,267.37,9.68,8.0,Polpa congelada_Julho_74
2025-07-25,Polpa congelada,Julho,7,Distribuidor,Centro-Oeste,Distribuidor food service,494.01,7.51,8.0,Polpa congelada_Julho_75
2025-07-17,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de sorvetes,704.56,10.53,8.0,Polpa congelada_Julho_76
2025-07-20,Polpa congelada,Julho,7,Industria,Norte,Indústria de sorvetes,179.26,6.8,10.0,Polpa congelada_Julho_77
2025-07-12,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de bebidas,350.26,6.05,6.0,Polpa congelada_Julho_78
2025-07-15,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de alimentos,413.46,10.23,6.0,Polpa congelada_Julho_79
2025-07-25,Polpa congelada,Julho,7,Food Service,Nordeste,Açaíterias,319.66,11.61,10.0,Polpa congelada_Julho_80
2025-07-15,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de alimentos,677.97,13.06,8.0,Polpa congelada_Julho_81
2025-07-03,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de alimentos,930.12,13.45,8.0,Polpa congelada_Julho_82
2025-07-29,Polpa congelada,Julho,7,Distribuidor,Sudeste,Distribuidor food service,198.62,7.97,7.0,Polpa congelada_Julho_83
2025-07-01,Polpa congelada,Julho,7,Varejo,Nordeste,E-commerce,693.98,10.75,8.0,Polpa congelada_Julho_84
2025-07-18,Polpa congelada,Julho,7,Distribuidor,Nordeste,Atacadista,402.11,9.8,9.0,Polpa congelada_Julho_85
2025-07-18,Polpa congelada,Julho,7,Food Service,Nordeste,Restaurantes,804.76,7.17,8.0,Polpa congelada_Julho_86
2025-07-12,Polpa congelada,Julho,7,Varejo,Norte,Supermercados,294.33,10.78,10.0,Polpa congelada_Julho_87
2025-07-16,Polpa congelada,Julho,7,Food Service,Sul,Confeitarias,213.89,13.62,8.0,Polpa congelada_Julho_88
2025-07-01,Polpa congelada,Julho,7,Food Service,Centro-Oeste,Hotéis,526.56,7.18,7.0,Polpa congelada_Julho_89
2025-07-16,Polpa congelada,Julho,7,Food Service,Norte,Restaurantes,586.69,7.63,9.0,Polpa congelada_Julho_90
2025-07-30,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de laticínios,358.82,12.09,8.0,Polpa congelada_Julho_91
2025-07-02,Polpa congelada,Julho,7,Food Service,Sudeste,,504.32,12.84,8.0,Polpa congelada_Julho_92
2025-07-06,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de sorvetes,655.33,9.4,7.0,Polpa congelada_Julho_93
2025-07-16,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de alimentos,1033.21,10.56,8.0,Polpa congelada_Julho_94
2025-07-20,Polpa congelada,Julho,7,Exportacao,Exterior,Trading,677.7,12.22,8.0,Polpa congelada_Julho_95
2025-07-24,Polpa congelada,Julho,7,Exportacao,Exterior,Importador (MENA),209.09,9.95,9.0,Polpa congelada_Julho_96
2025-07-05,Polpa congelada,Julho,7,Food Service,Sul,Açaíterias,459.82,7.11,9.0,Polpa congelada_Julho_97
2025-07-02,Polpa congelada,Julho,7,Varejo,Nordeste,Atacarejo,544.4,8.31,8.0,Polpa congelada_Julho_98
2025-07-14,Polpa congelada,Julho,7,Distribuidor,Sul,Operador logístico,915.16,7.73,9.0,Polpa congelada_Julho_99
2025-07-13,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de sorvetes,608.36,9.12,8.0,Polpa congelada_Julho_100
2025-07-01,Polpa congelada,Julho,7,Distribuidor,Centro-Oeste,Operador logístico,1178.86,9.91,9.0,Polpa congelada_Julho_101
2025-07-15,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de alimentos,361.31,10.48,8.0,Polpa congelada_Julho_102
2025-07-13,Polpa congelada,Julho,7,Industria,Norte,Indústria de bebidas,926.61,8.47,9.0,Polpa congelada_Julho_103
2025-07-06,Polpa congelada,Julho,7,Food Service,Sul,Açaíterias,482.97,13.77,8.0,Polpa congelada_Julho_104
2025-07-26,Polpa congelada,Julho,7,Food Service,Sul,Hotéis,733.91,8.5,8.0,Polpa congelada_Julho_105
2025-07-18,Polpa congelada,Julho,7,Varejo,Sul,E-commerce,379.9,6.67,8.0,Polpa congelada_Julho_106
2025-07-23,Polpa congelada,Julho,7,Food Service,Sudeste,Hotéis,552.63,8.86,7.0,Polpa congelada_Julho_107
2025-07-09,Polpa congelada,Julho,7,Industria,Norte,Indústria de alimentos,626.93,10.22,8.0,Polpa congelada_Julho_108
2025-07-07,Polpa congelada,Julho,7,Food Service,Sul,Açaíterias,686.33,7.85,9.0,Polpa congelada_Julho_109
2025-07-05,Polpa congelada,Julho,7,Food Service,Sudeste,Confeitarias,407.64,6.99,9.0,Polpa congelada_Julho_110
2025-07-21,Polpa congelada,Julho,7,Industria,Sul,Indústria de sorvetes,848.43,8.71,8.0,Polpa congelada_Julho_111
2025-07-02,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de sorvetes,647.84,11.87,8.0,Polpa congelada_Julho_112
2025-07-16,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de alimentos,127.32,11.44,8.0,Polpa congelada_Julho_113
2025-07-30,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de alimentos,573.57,8.13,8.0,Polpa congelada_Julho_114
2025-07-02,Polpa congelada,Julho,7,Distribuidor,Sul,Operador logístico,640.6,13.17,8.0,Polpa congelada_Julho_115
2025-07-09,Polpa congelada,Julho,7,Food Service,Sudeste,Restaurantes,693.14,11.36,6.0,Polpa congelada_Julho_116
2025-07-11,Polpa congelada,Julho,7,Varejo,Sudeste,Supermercados,365.45,11.19,6.0,Polpa congelada_Julho_117
2025-07-15,Polpa congelada,Julho,7,Industria,Sul,Indústria de bebidas,420.14,7.36,9.0,Polpa congelada_Julho_118
2025-07-09,Polpa congelada,Julho,7,Food Service,Nordeste,Confeitarias,233.91,7.29,10.0,Polpa congelada_Julho_119
2025-07-10,Polpa congelada,Julho,7,Food Service,Sudeste,Cafeterias,549.16,8.47,8.0,Polpa congelada_Julho_120
2025-07-08,Polpa congelada,Julho,7,Varejo,Sul,Supermercados,547.76,10.5,8.0,Polpa congelada_Julho_121
2025-07-09,Polpa congelada,Julho,7,Distribuidor,Sudeste,Distribuidor food service,527.3,12.71,7.0,Polpa congelada_Julho_122
2025-07-21,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de bebidas,378.21,9.15,9.0,Polpa congelada_Julho_123
2025-07-14,Polpa congelada,Julho,7,Exportacao,Exterior,Importador (EUA),357.99,10.24,6.0,Polpa congelada_Julho_124
2025-07-18,Polpa congelada,Julho,7,Distribuidor,Sudeste,Distribuidor regional,278.69,13.14,9.0,Polpa congelada_Julho_125
2025-07-31,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de alimentos,820.18,7.08,,Polpa congelada_Julho_126
2025-07-08,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de ingredientes,607.74,11.83,9.0,Polpa congelada_Julho_127
2025-07-07,Polpa congelada,Julho,7,Industria,Sudeste,Indústria de ingredientes,663.88,10.39,9.0,Polpa congelada_Julho_128
2025-07-01,Polpa congelada,Julho,7,Food Service,Nordeste,Açaíterias,693.11,6.3,9.0,Polpa congelada_Julho_129
2025-07-12,Polpa congelada,Julho,7,Distribuidor,Sudeste,Atacadista,237.51,12.75,,Polpa congelada_Julho_130
2025-07-22,Polpa congelada,Julho,7,Distribuidor,Sudeste,Operador logístico,591.99,12.04,8.0,Polpa congelada_Julho_131
2025-07-06,Polpa congelada,Julho,7,Food Service,Sudeste,Restaurantes,764.19,11.51,8.0,Polpa congelada_Julho_132
2025-07-13,Polpa congelada,Julho,7,Exportacao,Exterior,Importador (EUA),595.88,10.99,10.0,Polpa congelada_Julho_133
2025-07-28,Polpa congelada,Julho,7,Food Service,Norte,Confeitarias,391.41,8.17,9.0,Polpa congelada_Julho_134
2025-07-15,Polpa congelada,Julho,7,Industria,Nordeste,Indústria de bebidas,153.24,6.64,7.0,Polpa congelada_Julho_135
2025-07-13,Polpa congelada,Julho,7,Distribuidor,Sudeste,Distribuidor food service,707.24,6.5,8.0,Polpa congelada_Julho_136
2025-07-16,Polpa congelada,Julho,7,Varejo,Centro-Oeste,Atacarejo,659.22,12.18,10.0,Polpa congelada_Julho_137
