teor_umidade_pct,indice_acidez_mgKOH_g,ponto_fusao_c,indice_oxidacao_1a10,certificacao_exigida,id_pedido
0.75,4.22,31.08,8.0,Internacional,Manteiga de manga_Julho_0
0.62,3.59,35.97,9.0,ISO-HACCP,Manteiga de manga_Julho_1
0.81,4.44,32.73,8.0,ANVISA,Manteiga de manga_Julho_2
0.79,5.11,34.34,5.0,Internacional,Manteiga de manga_Julho_3
0.54,5.22,31.72,7.0,ANVISA,Manteiga de manga_Julho_4
0.36,3.95,35.38,8.0,Internacional,Manteiga de manga_Julho_5
1.23,4.45,33.99,7.0,Internacional,Manteiga de manga_Julho_6
0.93,1.89,30.67,9.0,Internacional,Manteiga de manga_Julho_7
0.42,7.43,33.07,8.0,Internacional,Manteiga de manga_Julho_8
0.44,3.41,30.79,8.0,ANVISA,Manteiga de manga_Julho_9
0.71,5.03,30.76,9.0,ISO-HACCP,Manteiga de manga_Julho_10
0.83,3.24,33.96,7.0,ISO-HACCP,Manteiga de manga_Julho_11
0.46,5.19,36.34,7.0,ISO-HACCP,Manteiga de manga_Julho_12
0.63,3.81,31.56,7.0,Internacional,Manteiga de manga_Julho_13
0.75,3.14,30.74,9.0,Internacional,Manteiga de manga_Julho_14
1.07,2.07,32.52,9.0,Internacional,Manteiga de manga_Julho_15
0.73,3.88,32.2,9.0,ISO-HACCP,Manteiga de manga_Julho_16
0.22,4.9,30.93,8.0,ISO-HACCP,Manteiga de manga_Julho_17
0.86,7.01,33.47,7.0,Internacional,Manteiga de manga_Julho_18
0.32,1.66,32.35,6.0,ANVISA,Manteiga de manga_Julho_19
0.53,3.82,33.21,6.0,ISO-HACCP,Manteiga de manga_Julho_20
0.99,4.71,30.35,7.0,Internacional,Manteiga de manga_Julho_21
0.74,4.69,29.88,8.0,Internacional,Manteiga de manga_Julho_22
0.35,6.37,32.18,9.0,Internacional,Manteiga de manga_Julho_23
0.74,1.58,35.23,7.826709526592636,Internacional,Manteiga de manga_Julho_24
0.78,6.98,30.11,6.0,ANVISA,Manteiga de manga_Julho_25
0.48,3.97,37.11,7.0,ANVISA,Manteiga de manga_Julho_26
0.76,3.22,35.05,7.0,Internacional,Manteiga de manga_Julho_27
0.55,2.43,34.23,8.0,Internacional,Manteiga de manga_Julho_28
0.74,3.33,29.77,8.0,ANVISA,Manteiga de manga_Julho_29
0.56,5.47,34.2,7.0,ISO-HACCP,Manteiga de manga_Julho_30
0.27,2.97,34.61,7.0,ANVISA,Manteiga de manga_Julho_31
0.62,4.45,36.71,7.0,Internacional,Manteiga de manga_Julho_32
0.69,5.57,33.31,7.0,Internacional,Manteiga de manga_Julho_33
0.46,2.27,34.08,10.0,ISO-HACCP,Manteiga de manga_Julho_34
0.28,2.96,32.27,8.0,ISO-HACCP,Manteiga de manga_Julho_35
0.56,4.65,30.89,7.0,ANVISA,Manteiga de manga_Julho_36
0.39,3.17,29.81,9.0,ISO-HACCP,Manteiga de manga_Julho_37
0.91,6.91,36.17,7.0,ISO-HACCP,Manteiga de manga_Julho_38
0.63,6.25,31.16,7.0,ANVISA,Manteiga de manga_Julho_39
0.44,5.87,34.85,8.0,ISO-HACCP,Manteiga de manga_Julho_40
0.75,2.24,32.65,9.0,Internacional,Manteiga de manga_Julho_41
0.8,4.19,34.36,7.826709526592636,Internacional,Manteiga de manga_Julho_42
0.87,2.41,36.29,8.0,,Manteiga de manga_Julho_43
0.64,4.31,28.0,7.0,Internacional,Manteiga de manga_Julho_44
0.19,4.75,28.0,9.0,Internacional,Manteiga de manga_Julho_45
0.47,4.49,34.99,8.0,Internacional,Manteiga de manga_Julho_46
1.05,4.54,34.99,9.0,,Manteiga de manga_Julho_47
0.34,5.9,31.96,8.0,Nenhuma,Manteiga de manga_Julho_48
0.1,3.94,37.0,8.0,ISO-HACCP,Manteiga de manga_Julho_49
0.49,4.97,32.21,8.0,Internacional,Manteiga de manga_Julho_50
0.53,4.45,30.41,7.0,Internacional,Manteiga de manga_Julho_51
0.33,4.47,34.34,5.0,ANVISA,Manteiga de manga_Julho_52
0.43,8.88,31.13,9.0,Internacional,Manteiga de manga_Julho_53
