logistica_brl,desconto_brl,lote_id,indice_qualidade_1a10,perda_processamento_pct,id_pedido
477.48,196.34738686131388,POLPA-202507-1999,8.0,2.19,Polpa congelada_Julho_0
205.88,87.57,POLPA-202507-6136,8.0,2.54,Polpa congelada_Julho_1
467.25,86.95,POLPA-202507-4632,7.0,1.68,Polpa congelada_Julho_2
452.76,77.44,POLPA-202507-7758,8.0,2.43,Polpa congelada_Julho_3
548.71,351.0,POLPA-202507-1549,10.0,3.0,Polpa congelada_Julho_4
559.49,205.27,POLPA-202507-6300,9.0,1.63,Polpa congelada_Julho_5
259.41,283.32,POLPA-202507-3843,9.0,0.93,Polpa congelada_Julho_6
2828.16,228.12,POLPA-202507-4149,9.0,1.86,Polpa congelada_Julho_7
78.14,16.57,POLPA-202507-6216,10.0,0.44,Polpa congelada_Julho_8
381.29,173.13,POLPA-202507-1178,9.0,1.58,Polpa congelada_Julho_9
1085.89,53.15,POLPA-202507-6633,8.0,1.58,Polpa congelada_Julho_10
889.78,129.76,POLPA-202507-8520,8.0,0.3,Polpa congelada_Julho_11
696.4,464.01,POLPA-202507-2844,10.0,2.93,Polpa congelada_Julho_12
506.79,170.99,POLPA-202507-8725,9.0,1.57,Polpa congelada_Julho_13
625.98,152.73,POLPA-202507-7627,8.0,2.07,Polpa congelada_Julho_14
1100.32,72.42,POLPA-202507-5960,8.0,1.68,Polpa congelada_Julho_15
1212.83,387.55,POLPA-202507-6034,9.0,3.24,Polpa congelada_Julho_16
1281.25,636.16,POLPA-202507-7867,9.0,1.48,Polpa congelada_Julho_17
1019.78,161.57,POLPA-202507-5180,9.0,1.17,Polpa congelada_Julho_18
188.7,44.58,POLPA-202507-3890,8.0,1.69,Polpa congelada_Julho_19
56.03,51.05,POLPA-202507-2398,10.0,1.78,Polpa congelada_Julho_20
876.72,339.87,POLPA-202507-7622,9.0,1.13,Polpa congelada_Julho_21
83.22,0.0,POLPA-202507-5974,7.0,2.4,Polpa congelada_Julho_22
239.57,89.0,POLPA-202507-8405,9.0,1.99,Polpa congelada_Julho_23
438.35,321.58,POLPA-202507-3854,9.0,1.88,Polpa congelada_Julho_24
944.56,217.94,POLPA-202507-4640,8.0,0.93,Polpa congelada_Julho_25
295.31,75.68,POLPA-202507-5402,10.0,2.98,Polpa congelada_Julho_26
489.59,228.2,POLPA-202507-2608,9.0,1.09,Polpa congelada_Julho_27
578.7460611353711,48.78,POLPA-202507-5431,9.0,3.04,Polpa congelada_Julho_28
480.37,267.42,POLPA-202507-4006,9.0,1.27,Polpa congelada_Julho_29
